N,P,K,Ph,Temperature(C),Rainfall(cm),Humidity,Crop
25,20,34,7.2,33,169,74,coconut
28,63,20,6.8,21,56,65,lentil
31,8,33,7.4,29,177,77,coconut
12,38,26,6,35,121,80,mango
79,46,39,5.7,28,133,71,rice
9,69,16,5.6,28,71,67,pigeonpeas
22,126,201,6.5,5,76,65,apple
7,7,45,6.5,38,55,62,pomegranate
27,140,204,6,8,100,66,apple
40,138,199,6.1,8,85,67,apple
9,78,18,6.1,24,55,61,lentil
30,66,22,6.9,21,54,70,lentil
39,38,27,7,29,146,78,mango
6,24,26,7.5,24,185,74,mango
8,80,18,6.5,30,58,63,pigeonpeas
67,53,24,6.9,24,77,55,maize
33,27,8,6.1,24,109,64,orange
26,5,44,6.3,27,97,62,pomegranate
66,59,39,5.8,26,148,72,rice
43,45,46,6.2,27,134,79,papaya
29,9,38,6.7,39,89,67,pomegranate
16,65,24,6.8,34,62,63,pigeonpeas
42,70,23,7.3,23,50,68,blackgram
100,44,20,6.1,22,70,56,maize
36,138,197,6.5,5,138,63,apple
40,44,17,6.3,27,82,61,mungbean
20,38,21,7.4,25,77,70,mothbeans
0,124,201,6.4,10,126,66,apple
0,43,21,6.9,28,98,62,mungbean
87,78,51,6.3,25,155,73,banana
126,45,15,6.6,23,73,62,cotton
0,42,23,6.5,23,96,66,mothbeans
48,68,83,6.5,27,32,68,chickpea
23,20,26,7.3,28,133,74,mango
76,42,42,6.2,33,123,79,rice
135,35,25,6.9,24,99,66,cotton
23,19,15,6.3,27,136,65,orange
35,125,202,6.3,16,83,68,grapes
13,33,33,6.2,35,125,72,mango
118,14,53,6.2,20,69,70,muskmelon
65,40,36,6.6,27,150,75,rice
5,25,25,6,24,186,72,mango
38,23,28,6.3,35,157,71,coconut
34,14,36,6.2,39,71,60,pomegranate
30,31,34,6.2,34,105,74,mango
40,50,18,6.7,21,58,66,mothbeans
27,64,16,6.6,28,88,64,lentil
94,25,45,6.2,20,75,80,muskmelon
14,7,5,6,28,120,64,orange
35,64,21,6,29,61,65,pigeonpeas
32,72,22,6.1,23,98,62,kidneybeans
95,46,43,6.7,25,101,74,rice
109,28,54,6.1,20,75,70,muskmelon
81,38,40,6.3,34,149,70,rice
23,72,19,7,22,74,67,kidneybeans
9,34,31,7.2,33,136,79,mango
82,29,51,6.7,20,62,73,watermelon
32,55,25,6.6,23,72,60,lentil
5,127,199,6.4,17,46,66,grapes
127,54,24,6.1,26,69,65,cotton
89,8,53,6.1,20,99,80,watermelon
80,60,19,7.1,23,96,52,maize
64,62,55,6.6,28,93,80,papaya
25,60,23,7,25,58,69,mungbean
12,37,22,6.1,33,88,70,mothbeans
5,127,203,6.4,12,74,60,grapes
9,68,19,6.7,20,69,66,lentil
6,71,25,5.7,33,64,65,pigeonpeas
37,65,19,6.5,23,68,61,kidneybeans
38,54,25,6.7,27,78,65,mothbeans
14,18,6,6.4,28,147,67,orange
6,47,19,6.7,27,84,62,mothbeans
55,55,85,7.3,22,59,70,chickpea
56,45,50,6.7,28,134,80,papaya
65,53,40,5.7,21,127,71,rice
17,41,25,6.4,30,100,62,mungbean
12,57,15,6.5,21,53,61,lentil
23,66,21,6.3,27,71,62,lentil
15,51,24,6.9,23,78,68,mungbean
46,68,55,6.3,26,148,70,papaya
16,5,15,6.5,20,83,61,orange
108,49,24,6.1,29,62,64,cotton
75,59,38,6.8,34,142,79,rice
44,75,19,6.5,23,96,61,blackgram
111,15,51,6.2,20,79,79,watermelon
40,29,35,6.1,33,97,68,pomegranate
32,71,17,7.4,28,73,64,pigeonpeas
115,87,47,6,23,180,73,banana
50,54,52,6.4,21,121,71,papaya
5,129,205,6.4,5,99,68,apple
